,text,FINAL_LABEL
166,this is 2020 fortunate to be sheltered in place with these people happy easter,IRRELEVANT
167,this guy had flu like symptoms in the train no mask nothing his stop was deanwood i didn t c,IRRELEVANT
168,this mondaymention goes out to the this legendary team is working hard to continue providing their dail,IRRELEVANT
169,the fact that fucking donald trump is making life and death decisions for our country is so terrifying,IRRELEVANT
170,the county is now accepting applications from county businesses amp nonprofits for the public health emergency grant,IRRELEVANT
171,the safest way to complete the 2020census is now while we stayhomedc together you can fill it out at home wit,IRRELEVANT
172,the art angle podcast how photography is being revolutionized in the coronavirus era artnet news,IRRELEVANT
173,the dr burke just gave kudos to and thank you for your leadership during,IRRELEVANT
174,the real mvps of social distancing,IRRELEVANT
175,the lack of action to fight the spread of the coronavirus in elderly care facilities across the country is an outr,IRRELEVANT
176,there s a big jump in numbers for fluvanna they have 62 cases now because of an outbreak in a long term care facil,RELEVANT
177,nan,IRRELEVANT
178,the only reason we have any hand sanitizer in our house is because my mom used to put it in our christmas stocking,IRRELEVANT
179,the curve is definitely bending ie velocity of claims is slowing and ui offices are working hard to get people o,IRRELEVANT
180,nan,IRRELEVANT
181,the ads come as trump campaign officials lay plans to try to make the general election campaign more about the bide,IRRELEVANT
182,the trump administration has told employers that they don t have to track cases of covid 19 among their workers,IRRELEVANT
183,thats interesting the c virus daily new case counts start to flatten so what does the va state health dept do o,IRRELEVANT
184,that s the long pole in the tent chris until you beat the virus there is no bringing back the economy some will i,IRRELEVANT
185,thank you for helping put computers in the hands of computer core students as we begin distance learning spring2ac,IRRELEVANT
186,thank you for highlighting feedthefrontlines and work to help support the health care heroes,IRRELEVANT
187,thank you general for speaking of the impact of covid19 on our nativeamerican brothers and sisters for,IRRELEVANT
188,thank you and for talking today to 32bj s essential service workers who risk their,IRRELEVANT
189,thank you for extending status and waiving change fees during covid 19 travel aadvantage,IRRELEVANT
190,social distancing amp wearing masks to the grocery store all feels so normal now it ll be weird going back to reality once this is all over,RELEVANT
191,social distancing virtual ride make the best of it and stay safe btp wegetit beechtree,IRRELEVANT
192,social distancing for relief payment recipients,IRRELEVANT
193,stanford crowdsources county level covid 19 policy data coronavirus,RELEVANT
194,nan,RELEVANT
195,some upbeat opimistic scenarios for consideration of how the world recovery might take shape but what if survivors,RELEVANT
196,social distancing with unc b saint katherine greek orthodox church in falls church dc,RELEVANT
197,social distancing wishing i was out cruising the beaches amp parks but safe amp sound at home gopro gopro,RELEVANT
198,so what i do know is there was an incident around simple city and these officers don t have on any ppe at all,IRRELEVANT
199,so where are people going to find masks because there are none available for purchase,RELEVANT
200,so weed and alcohol can make the coronavirus worse,IRRELEVANT
201,so how many people have to say that we need to ramp up testing to get to our new normal my dad s next door neighbor,IRRELEVANT
202,so grateful to see a story on news about a family reunited during pandemic this quote was shared that is be,IRRELEVANT
203,small new study may provide clues into asymptomatic carriers of coronavirus covid 19 via,RELEVANT
204,since we re going into warmer weather w covid are we testing the possibility of peer to peer transmission via mosquitos,RELEVANT
205,since won t take responsibility for a slow response to covid19 he should have zero say in restar,IRRELEVANT
206,share your healthyathome tips washingtondc city life has benefits but during covid19 is 95 time indoors ti,IRRELEVANT
207,share this graphic to let others know how we can together stop the spread of germs stayhomedc,IRRELEVANT
208,share this graphic to help others understand the symptoms of coronavirus covid 19 stayhomedc,IRRELEVANT
209,see it s people like george that should be scary to others those who have it but are completely asymptomatic ver,IRRELEVANT
210,researchers have discovered six new coronaviruses in bats in myanmar the first time these viruses have been dete,RELEVANT
211,republicans take aim at michigan governor over virus response gov gretchen whitmer is und,IRRELEVANT
212,reports confirm brazil s minister of health has been fired following weeks of tension as he and president bolsonaro,IRRELEVANT
213,reminder that if you re wearing a surgical mask you have to pinch the top so that there s no space between your face and the mask,RELEVANT
214,nan,RELEVANT
215,public health information is never too much but can be too late for the people who need it most,IRRELEVANT
216,proud of the innovative and proactive approach has taken to help hospitals access critical medical suppl,IRRELEVANT
217,proud of our community of businesses thank you all mcduffie,IRRELEVANT
218,previously referring to a friend presumably chera who has contracted the coronavirus had told reporters,IRRELEVANT
219,president trump democrats continue to block additional paycheck protection plan for workers and small business in,IRRELEVANT
220,prepping lunch for doctors nurses and healthcare workers in hospitals and emergency rooms all over the country ar,RELEVANT
221,polling stations across south korea are being disinfected regularly while voting is open and voters will have thei,IRRELEVANT
222,please stop essential businesses making employees come in who work at desks phones they can work from home there,RELEVANT
223,please be safe and healthy in these trying times very truly yours kiy dfn care s president amp ceo,IRRELEVANT
224,photo of a republican led protest in lansing mich against gov gretchen whitmer s stay at home order notice how,RELEVANT
225,perversely the greater the lockdown succeeds in stopping the spread of the virus the easier a political target it,IRRELEVANT
226,people died because was mad that someone told the public the truth,IRRELEVANT
227,people aren t staying 6 feet apart but everyone seems to have surgical masks,RELEVANT
228,p h a s e 1 o f ouaa2maga all vulnerable individuals should continue to shelter in place members of househ,IRRELEVANT
229,over a month into this pandemic and i still have to push this inaccessible ancient beg button to cross the street a,IRRELEVANT
230,our premiere edition of frontline conversations launches wednesday at 12pm we are bringing together leaders for in,IRRELEVANT
231,our medical staff on the front lines dealing with lives loss and emotions i m grateful for this nurse keeping it,RELEVANT
232,our campus may be closed but classes are in session we have been remote learning for several weeks now take a pee,IRRELEVANT
233,one month ago today we made the decision to closed up shop to do our part to stop the spread covid 19 this pictu,IRRELEVANT
234,non household group exercise is not allowed this reckless behavior puts people s lives at risk don t do it,IRRELEVANT
235,newborn babies given mini face shields at hospitals in thailand,IRRELEVANT
236,nan,IRRELEVANT
237,nsf rapid grant backs princeton research to track and contain pandemic coronavirus,IRRELEVANT
238,now is holding his covid19 press conference virginia coronavirus,RELEVANT
239,my top tip today if you are caring for covid19 patients is to follow a rehab psychologist devoti,RELEVANT
240,my mom went to the doctor in lynchburg and they handed her a questionnaire have you had a fever cough etc but,RELEVANT
241,my mom made homemade face shields im trying cop one,IRRELEVANT
242,my grandparents are so worried about our family and wanting to give us all their food masks gloves etc when in,IRRELEVANT
243,my friends 90 year old mom she is in a nursing home and he has been unable to visit with her but her personality,IRRELEVANT
244,my inspired face mask quarantineactivities facemask masks4all,IRRELEVANT
245,mr johnson sends big thanks to all of the heroes on the frontlines especially our partners at to,IRRELEVANT
246,nan,RELEVANT
247,more ways to help your community during this crisis is asking for an additional 30k medical amp non med,RELEVANT
248,medically he s a very interesting case not that we like to refer to patients as cases but you know what i mean,IRRELEVANT
249,mcconnell spox on trump threatening to adjourn congress if they don t vote on his nominees the leader pledged to,IRRELEVANT
250,mandatory face mask order in prince george s county beltway plaza mall,RELEVANT
251,lol you really can t count on nobody in this world maybe this is the brightside of this whole corona virus,IRRELEVANT
252,listen to y all friend say that a 2 3 in total mortality rate of kids might be a good trade off to send kids,IRRELEVANT
253,line wraps around 3 blocks for entrance to dupont circle farmer s market coronavirususa dctraffic washingtondc,RELEVANT
254,let s see if i can sleep tonight without coughing thinking i m dying of the rona,IRRELEVANT
255,let em go seriously let all the republicans amp trump supporters populate society amp dems will just hang back amp let,IRRELEVANT
256,largely agree with this assessment but the game isn t over summer is likely to be a much needed break which we,IRRELEVANT
257,nan,IRRELEVANT
258,just made some hand sanitizer,IRRELEVANT
259,just in new jobs numbers show that more than 5 million people filed for unemployment benefits last week 22 milli,IRRELEVANT
260,just chillin waiting for the virus to pass as seen on for sheen curves for,IRRELEVANT
261,just confirmed envoy at the village in fluvanna county has covid 19 in their facility i talked to a spokeswoman,RELEVANT
262,join us today at 2pm et fb live impact of covid 19 on communities of color especially looking at,IRRELEVANT
263,join and for a webinar on cancer covid 19 and disparities on 4 23 20 12 00 1 00,IRRELEVANT
264,i m joining today from 3 4 pm et for a gpfactcheck twitter chat to talk about how covid19 impacts yo,IRRELEVANT
265,i m currently using a hand sanitizer made with ethyl alcohol vanilla and cocoa bean and it makes me smell like a c,IRRELEVANT
266,it s absolute bull shit that i have to watch my grandfathers funeral on a computer today i didn t get to say good,RELEVANT
267,it seems the only person in the florida admin who cares about floridians is the only dem in the cabinet thank you,IRRELEVANT
268,is she talking about a coup msnbc host suggests biden form shadow government to counter trump on coronavirus,IRRELEVANT
269,in print today d c area residents with disabilities report having to wait up to two weeks to get groceries delive,IRRELEVANT
270,nan,IRRELEVANT
271,in a statement released this week condemned brazilian president bolsonaro s efforts to counter health experts,IRRELEVANT
272,nan,RELEVANT
273,if you re not already watching i highly recommend starting now during covid19 we did at my brother,IRRELEVANT
274,if your not wearing a fucking mask or something covering your face please don t come to the grocery store because i,RELEVANT
275,if in the middle of a pandemic you pull down your mask in the middle of a grocery store to lick your finger you can t be helped,RELEVANT
276,idk bout y all but i d rather wear a mask everyday when i go hangout with friends go to work or enter any public,RELEVANT
277,i ve been having fun with this acapellamakerapp during quarantine more to come let me know some other songs i sh,IRRELEVANT
278,i ve wfh from what is the equivalent of 2 full symptom periods 2 14 days the chances of me contracting now got,RELEVANT
279,i wish would stop referring the daily white house trumpviruscoverup presser as covid19 task for,IRRELEVANT
280,i thought you cdc estimates at least 9 200 health care workers have been infected with coronavirus,IRRELEVANT
281,i see lots of commentary about how trump is pushing to open the country too fast but looking at the plan here it s,IRRELEVANT
282,i pray that science and experience prevail and bosses businesses refuse to force their employees to return to work,RELEVANT
283,i need to get out of this house amp bike riding will be good exercise while still practicing social distance,IRRELEVANT
284,i love seeing my own friends not social distancing on snap it s the same people who complain about quarantine or,IRRELEVANT
285,i just want a logically explanation why gyms would open up why tf anything would open up,RELEVANT
286,i just found out my grandfather passed he tested positive for covid 19 five days ago he died alone after weeks of,IRRELEVANT
287,i hear they ll let us all go back to work on the 1st he says but until then i can t purchase any food without a m,IRRELEVANT
288,i don t know what is more depressing all the social distancing stuff or the fact that i need glasses to read my phone old,IRRELEVANT
289,i don t know how to feel about this picture my heart is gushing over how adorable these lil babies are with their,IRRELEVANT
290,i appreciate maryland amp virginia starting a separate strike force for assisting in the overwhelming cases of cov,IRRELEVANT
291,i want to thank all my friends and family for checking up on me these pass few weeks just knowing everyone in m,IRRELEVANT
292,how is the coronavirus not raging through the detention centers at the border nowall detention,IRRELEVANT
293,how humanity unites in social distance incredibly honored to be a small part of such a big,IRRELEVANT
294,highly unethical this is not the time to be selling your face masks in the fashion industry,IRRELEVANT
295,highlight of s talk today at there has been a massive failure of lack of information and,IRRELEVANT
296,here s my article on alex ovechkin and other hockey players donating masks during this time to healthcare workers,IRRELEVANT
297,help families in langley park surrounding communities with meals and groceries link below covid19 pgcounty,IRRELEVANT
298,hear ye hear ye hear ye our first virtual town hall is tomorrow afternoon focused on covid 19 and infrastructure,IRRELEVANT
299,guy at the grocery store w o mask kept getting super close and of course stood 2 feet behind me in line dude y,IRRELEVANT
300,government s most important role is to protect us this govt has not lived up to that responsibility they were too,IRRELEVANT
301,government needs to either reopen stuff in a reasonable time or send out more aid to people and businesses it s du,IRRELEVANT
302,good to see this drive through testing facility for covid 19 in foggy bottom,RELEVANT
303,glad that it wasn t an intentional spread of virus but could have been today whether we like it or not we are one,IRRELEVANT
304,fuck and all of these dumb fucks i remember all the bullshit about obama s death panels and n,IRRELEVANT
305,frightening stat on tonight 43 of small businesses fear they will close for good in 6 months without so,IRRELEVANT
306,nan,IRRELEVANT
307,nan,IRRELEVANT
308,for fellow 30rock fans tina fay and sam means imagine the gang responding to corona s virus,IRRELEVANT
309,nan,IRRELEVANT
310,ever since the coronavirus challenge people licking toilet bowls and everything else like it s not a big deal it s,IRRELEVANT
311,essential or expendable farmworkers condemn lack of protection and economic help during pandemic via,IRRELEVANT
312,ending the show with an pez extra made the night so sorry to hear you lost a family member to covid 19 t,IRRELEVANT
313,either amazon is sanitizing boxes or the person who s delivering them is bc i just got some orders and they smell like lysol,IRRELEVANT
314,early peek at data on gilead coronavirus drug suggests patients are responding to treatment via,RELEVANT
315,during this tough coronavirus battle time it s important we maintain good hygiene it would be frustrating if the,IRRELEVANT
316,dr fauci says he talked with members about health disparities in black and minority communities coronavirus,IRRELEVANT
317,donald trump notorious con artist stalls 1 200 relief checks to dying americans to slap his name on them the ta,IRRELEVANT
318,did you miss out on s live virtual town hall focused on covid19 amp infrastructure check out the recordin,IRRELEVANT
319,dc especially in ward 5 if you are experiencing cv 19 racial profiling at the hospital in the stores and carryin,IRRELEVANT
320,cruise lines were shut out of the stimulus here s why hint they are tax avoiders polluters and spread the vir,IRRELEVANT
321,covid 19 politeness is flower of humanity yanni love is all truth is forever the tribute concerts 10,IRRELEVANT
322,coronavirus chronicles essential personal thanks to keep working for all be safe candid igdc dc,RELEVANT
323,coronavirus chronicles keep dreaming keep growing keep fixing keep doing keep finding beyond this world,RELEVANT
324,come on grocery store workers don t have the luxury to stay at home they are putting their well being and their f,IRRELEVANT
325,chris cuomo s wife cristina tests positive for coronavirus via,IRRELEVANT
326,check out some information about hfnc aerosol spread and using a surgical mask concord,RELEVANT
327,charles darwin has a special message for those of you who think that the coronavirus covid19 virus is either a ma,IRRELEVANT
328,can we stop using the peak as a return to business as usual it should be only used to mobilize medical equipment,IRRELEVANT
329,called at 8 30am when they opened and was on hold for 5 hours and 30 minutes till i got an agent at dc fina,RELEVANT
330,covid 19 got me out here looking like mort from the bazooka joe comic strips covid19 coronavirus mort,IRRELEVANT
331,covid 19 threatens the gaza strip the population in gaza is more vulnerable to the virus due to its decade long s,IRRELEVANT
332,bro i wear glasses this face mask shit wasn t designed for my kind,IRRELEVANT
333,blacks make up 72 of covid 19 deaths in dc what s is the mayor doing about it your guess as good as mine,IRRELEVANT
334,big d c bar and events space hook hall has been paying restaurants to prepare meals for distribution to hospitalit,IRRELEVANT
335,being a hypochondriac during the corona outbreak is really doing a number on my mental health,IRRELEVANT
336,asymptomatic ppl are my biggest fear with this virus,IRRELEVANT
337,as the ever widening direction on wearing face covering increases in the us it will of course be accompanied by g,IRRELEVANT
338,as countries around the world address the covid 19 pandemic jaswdc chairman reflects on lessons lear,IRRELEVANT
339,nan,IRRELEVANT
340,apple google bring covid 19 contact tracing to 3 billion people,IRRELEVANT
341,anybody can get it but black communities have been far more impacted in maryland its nw baltimore the 21215 zi,RELEVANT
342,and make this forced closure of businesses a several month thing instead of a several week long thing he never ca,IRRELEVANT
343,although it s necessary it s scary for patients to see us in all this gear i love what these healthcare workers,RELEVANT
344,also i was allowed to touch my own face,IRRELEVANT
345,alarm breeds alarm taking breaks from social media is good i m not saying alarm isn t appropriate but for your,IRRELEVANT
346,about to have a mental breakdown because i can t find an open time slot for my groceries to be delivered or picked up in the next two weeks,RELEVANT
347,ag secretary perdue working closely with cdc to ensure ag and healthcare workers are as safe as possible covid,IRRELEVANT
348,a3 i ve enjoyed reading books and trying to get into a rhythm with running 2 good activities for social distancing novaedchat,IRRELEVANT
349,a10 domestic violence dv is often not thought of during amp after an emergency support for survivors of dv are i,IRRELEVANT
350,a captain thanks the healthcare workers on his flight to newark such a nice moment in the midst of a globa,IRRELEVANT
351,name,IRRELEVANT
352,small risk of dying from catching it we ve all caught the f,IRRELEVANT
353,what do they want their ppl to live or die large gatherings when we have no idea who is infected,IRRELEVANT
354,because the economy is tanking people can t get food or medicine can t pay the rent or utilities,RELEVANT
355,that s what s suspicious about the reporting the 9 7 million is the flu which could include covid with,IRRELEVANT
356,we all agree all or most hospitals need equipment to handle this virus but they all need to asked the current,RELEVANT
357,if they are that concerned why does walmart have 400 people in it right now,IRRELEVANT
358,it s the quarantine all sense is now gone weird fn animals and shit now amuse us for hours,IRRELEVANT
359,your dumbass followers are proving they don t care if they get the virus so why don t you do a cou,IRRELEVANT
360,you re an idiot people are dying because of your incompetence and you only care about the stock market shame,IRRELEVANT
361,nan,IRRELEVANT
362,quit passing the blame on everyone but you you thought like everything else you would cover this,IRRELEVANT
363,i hope you have nightmares the rest of your pathetic life i hope all the people who have lost the,IRRELEVANT
364,is anyone curious about the number of people who have died in the united states f,IRRELEVANT
365,no let me explain it to you since there s science involved here the genome of tge strai,IRRELEVANT
366,from the start trump has been right and fauci who worked for clinton and obama wrong dum,IRRELEVANT
367,preparing for the pandemic or actually preparing the pandemic level of awareness of the pandemic makes,IRRELEVANT
368,in mountains of virginia at least two thirds of people at kroger and foodlion were wearing,RELEVANT
369,yes but the state board announced reason code 2a illness disability can be used by anyone r,IRRELEVANT
370,i agree with that but the root,IRRELEVANT
371,only a moron like trump would try open this country up under the circumstances facing we the people,IRRELEVANT
372,mayes our neighborhood in the maryland suburbs of dc is simultaneously showing our su,IRRELEVANT
373,dave that s one of my biggest problems with this hospitals are being required to lists deaths as covid th,IRRELEVANT
374,dave i know of 0 people with it as well i also have 2 respiratory therapist in my family so i hear amp tru,IRRELEVANT
375,taggart and history repeats itself the lower income,IRRELEVANT
376,we re lucky here in chesterfield county va our libraries are closed to the public but we can call or,IRRELEVANT
377,name,IRRELEVANT
378,hey there joke getter not sure what you mean by it didnt stop them sto,IRRELEVANT
379,how many of these mfers that now trying to shame everyone send their kids to school sick or when someone in,RELEVANT
380,i wonder if he d heard of social distancing,IRRELEVANT
381,you should be ashamed man what part of social distancing don t you understand,IRRELEVANT
382,pat orange16 look at the lives lost internati,IRRELEVANT
383,on a positive note it has made social distancing a bit easier,IRRELEVANT
384,name,IRRELEVANT
385,name,IRRELEVANT
386,squinchy sorry i could have helped you out but social distancing,IRRELEVANT
387,name,IRRELEVANT
388,what s the status of the reinfected people in south korea are they new infections or flare ups from previous,IRRELEVANT
389,why did you switch from reporting new c virus cases daily to weekly is it because the weekly chart doesnt,IRRELEVANT
390,did cuomo really just suspend take back 2 raise for essential workers in nys because of the p,IRRELEVANT
391,but you said it was like the flu btw florida now has twice as many coronavirus cases 20 601 as s,IRRELEVANT
392,i think about this all the time it s not just about the president it s about the people around h,IRRELEVANT
393,nan,RELEVANT
394,nan,RELEVANT
395,name,RELEVANT
396,ceo michael bright the covid19 pandemic requires bigger and different thinking than 2008,IRRELEVANT
397,propublica the trump administration has rushed through more than 760 million in contracts ou,IRRELEVANT
398,they re too smart and intelligent for trump and he s scared of them he needs incompetent people so when t,IRRELEVANT
399,says that restaurants are grateful for any type of relief they foresee more relief coming to help restaura,IRRELEVANT
400,name,IRRELEVANT
401,under the stay at home plan hospitals are overwhelmed reusing masks doctors amp nurse,IRRELEVANT
402,name,IRRELEVANT
403,like moscow trump said that putin will damn sure get his ventilators and americans wil,IRRELEVANT
404,talks about the importance of accurate data to help us navigate through covid19 covidunmasked p,IRRELEVANT
405,check your priviledge a opening up even if the return of infections isn t as large as feared will,RELEVANT
406,do you think the virus only likes americans south korea sto,IRRELEVANT
407,the montgomery county government should make masks available to its residents it s not right to req,RELEVANT
408,nan,IRRELEVANT
409,i really find these videos insulting people are dying and sick there s nothing to be celebrating now,IRRELEVANT
